initial_gap,final_gap,convergence_pct,rounds
250.0,0.0,100.0,10
150.0,0.10000000000002274,99.93333333333332,20
300.0,0.0,100.0,12
250.0,0.0,100.0,14
200.0,0.0,100.0,12
200.0,0.0,100.0,12
200.0,0.0,100.0,16
200.0,0.0,100.0,14
150.0,0.0,100.0,10
200.0,0.0,100.0,10
250.0,5.0,98.0,20
300.0,0.0,100.0,16
250.0,0.0,100.0,16
250.0,0.0,100.0,18
200.0,0.0,100.0,16
350.0,0.0,100.0,14
250.0,0.0,100.0,16
250.0,10.0,96.0,14
250.0,0.0,100.0,14
250.0,0.0,100.0,18
300.0,0.0,100.0,12
200.0,0.0,100.0,12
200.0,0.0,100.0,10
300.0,5.0,98.33333333333333,14
300.0,5.0,98.33333333333333,18
250.0,0.0,100.0,14
200.0,0.0,100.0,12
350.0,0.0,100.0,16
200.0,0.10000000000002274,99.94999999999999,20
200.0,1.0,99.5,14
250.0,0.0,100.0,12
150.0,0.0,100.0,8
150.0,0.0,100.0,10
150.0,0.0,100.0,10
150.0,0.0,100.0,14
150.0,0.0,100.0,12
150.0,0.0,100.0,10
250.0,0.0,100.0,10
150.0,0.0,100.0,10
150.0,0.0,100.0,10
400.0,0.0,100.0,14
250.0,0.0,100.0,18
250.0,5.0,98.0,20
300.0,0.0,100.0,18
400.0,1.0,99.75,20
350.0,0.0,100.0,14
300.0,0.0,100.0,14
400.0,0.0,100.0,14
250.0,2.5,99.0,14
250.0,0.0,100.0,14
250.0,0.0,100.0,10
250.0,0.0,100.0,18
250.0,0.0,100.0,14
250.0,0.0,100.0,14
250.0,0.0,100.0,12
250.0,0.0,100.0,16
250.0,0.0,100.0,12
200.0,0.0,100.0,16
250.0,0.0,100.0,16
300.0,0.5,99.83333333333333,16
